cost_center,cost_month,fixed_cost,variable_cost,headcount
ORIGINATION,2024-01-01,370124,39390,11
SECONDARY,2024-01-01,139514,46549,19
IT,2024-01-01,319304,126579,53
ORIGINATION,2024-02-01,242086,38812,26
SECONDARY,2024-02-01,324378,125687,31
IT,2024-02-01,184811,106101,29
ORIGINATION,2024-03-01,279981,129824,36
SECONDARY,2024-03-01,335032,25980,44
IT,2024-03-01,207444,40463,12
ORIGINATION,2024-04-01,252582,30903,11
SECONDARY,2024-04-01,193734,125446,42
IT,2024-04-01,104455,86591,23
ORIGINATION,2024-05-01,294694,92325,42
SECONDARY,2024-05-01,299883,34718,15
IT,2024-05-01,272909,140618,49
ORIGINATION,2024-06-01,205003,92064,19
SECONDARY,2024-06-01,398076,148183,8
IT,2024-06-01,125184,39102,46
ORIGINATION,2024-07-01,186261,71261,11
SECONDARY,2024-07-01,258875,41534,59
IT,2024-07-01,286361,76868,26
ORIGINATION,2024-08-01,94263,69983,57
SECONDARY,2024-08-01,368311,56510,57
IT,2024-08-01,386323,97622,51
ORIGINATION,2024-09-01,289798,26000,35
SECONDARY,2024-09-01,108907,60770,42
IT,2024-09-01,275440,91030,30
ORIGINATION,2024-10-01,141972,106727,15
SECONDARY,2024-10-01,332055,145640,36
IT,2024-10-01,240488,46793,58
ORIGINATION,2024-11-01,80157,78330,56
SECONDARY,2024-11-01,355421,35390,12
IT,2024-11-01,368827,22332,17
ORIGINATION,2024-12-01,288539,61837,22
SECONDARY,2024-12-01,356755,134201,37
IT,2024-12-01,388106,86547,39
