loan_id,channel,product,funded_amount,funded_month,margin_bps,interest_rate,state
LN-2024-00001,Retail,ARM 5/1,464603,2024-01-01,284,6.749,AZ
LN-2024-00002,Retail,ARM 5/1,506179,2024-06-01,342,6.061,NY
LN-2024-00003,Retail,ARM 5/1,436148,2024-11-01,339,8.338,AZ
LN-2024-00004,Correspondent,15yr Fixed,971030,2024-05-01,269,6.934,AZ
LN-2024-00005,Wholesale,ARM 5/1,255944,2024-08-01,292,7.218,IL
LN-2024-00006,Direct,15yr Fixed,340341,2024-04-01,328,7.738,FL
LN-2024-00007,Correspondent,ARM 5/1,564066,2024-02-01,351,7.696,FL
LN-2024-00008,Wholesale,15yr Fixed,693896,2024-05-01,327,6.061,CA
LN-2024-00009,Wholesale,ARM 5/1,401395,2024-01-01,285,5.736,NY
LN-2024-00010,Retail,ARM 5/1,196158,2024-12-01,297,7.981,CA
LN-2024-00011,Retail,ARM 5/1,933027,2024-02-01,315,8.24,CA
LN-2024-00012,Correspondent,15yr Fixed,1093425,2024-06-01,362,7.964,FL
LN-2024-00013,Correspondent,30yr Fixed,946414,2024-12-01,308,7.893,IL
LN-2024-00014,Correspondent,ARM 5/1,944623,2024-02-01,302,7.97,AZ
LN-2024-00015,Retail,15yr Fixed,921283,2024-04-01,329,7.978,CA
LN-2024-00016,Correspondent,30yr Fixed,841480,2024-02-01,254,8.249,NY
LN-2024-00017,Direct,ARM 5/1,1103640,2024-06-01,253,5.99,AZ
LN-2024-00018,Correspondent,30yr Fixed,1057420,2024-01-01,310,6.357,TX
LN-2024-00019,Wholesale,15yr Fixed,498587,2024-06-01,314,6.441,NY
LN-2024-00020,Wholesale,15yr Fixed,572780,2024-08-01,269,8.012,FL
LN-2024-00021,Direct,30yr Fixed,975779,2024-02-01,277,7.557,AZ
LN-2024-00022,Retail,30yr Fixed,1105803,2024-08-01,319,7.809,TX
LN-2024-00023,Retail,15yr Fixed,670709,2024-02-01,338,8.181,TX
LN-2024-00024,Retail,30yr Fixed,821809,2024-02-01,363,6.047,FL
LN-2024-00025,Correspondent,30yr Fixed,697279,2024-02-01,264,8.227,CA
LN-2024-00026,Wholesale,15yr Fixed,990314,2024-12-01,366,5.882,CA
LN-2024-00027,Retail,15yr Fixed,817702,2024-12-01,281,8.087,NY
LN-2024-00028,Direct,ARM 5/1,585509,2024-11-01,323,6.901,FL
LN-2024-00029,Correspondent,ARM 5/1,958043,2024-10-01,313,5.879,IL
LN-2024-00030,Retail,ARM 5/1,829306,2024-03-01,332,8.097,FL
LN-2024-00031,Direct,ARM 5/1,451549,2024-02-01,344,5.832,FL
LN-2024-00032,Wholesale,ARM 5/1,695181,2024-12-01,336,5.662,FL
LN-2024-00033,Direct,30yr Fixed,233548,2024-12-01,292,6.532,CA
LN-2024-00034,Correspondent,30yr Fixed,519566,2024-09-01,378,6.738,FL
LN-2024-00035,Retail,ARM 5/1,896581,2024-03-01,305,7.693,CA
LN-2024-00036,Retail,30yr Fixed,549067,2024-12-01,334,6.345,CA
LN-2024-00037,Wholesale,ARM 5/1,940234,2024-08-01,250,7.26,CA
LN-2024-00038,Wholesale,30yr Fixed,352321,2024-09-01,279,5.518,FL
LN-2024-00039,Correspondent,15yr Fixed,489212,2024-03-01,344,8.073,CA
LN-2024-00040,Direct,15yr Fixed,1087591,2024-02-01,270,6.523,TX
LN-2024-00041,Correspondent,30yr Fixed,1029702,2024-11-01,287,6.84,CA
LN-2024-00042,Retail,ARM 5/1,586961,2024-07-01,306,6.771,IL
LN-2024-00043,Correspondent,ARM 5/1,348432,2024-01-01,285,8.158,IL
LN-2024-00044,Correspondent,ARM 5/1,450390,2024-07-01,269,5.951,TX
LN-2024-00045,Retail,ARM 5/1,431577,2024-08-01,363,8.016,TX
LN-2024-00046,Correspondent,ARM 5/1,154850,2024-01-01,380,5.886,AZ
LN-2024-00047,Wholesale,15yr Fixed,890880,2024-11-01,277,7.959,TX
LN-2024-00048,Correspondent,30yr Fixed,1030718,2024-09-01,324,6.138,AZ
LN-2024-00049,Retail,ARM 5/1,371395,2024-09-01,275,8.257,FL
LN-2024-00050,Correspondent,30yr Fixed,509856,2024-03-01,373,7.399,CA
LN-2024-00051,Direct,30yr Fixed,1099711,2024-08-01,265,6.008,NY
LN-2024-00052,Wholesale,30yr Fixed,389244,2024-09-01,331,7.79,AZ
LN-2024-00053,Wholesale,30yr Fixed,250582,2024-02-01,282,7.263,CA
LN-2024-00054,Retail,ARM 5/1,523687,2024-06-01,262,6.159,IL
LN-2024-00055,Direct,ARM 5/1,1071987,2024-11-01,309,7.935,NY
LN-2024-00056,Retail,ARM 5/1,1015851,2024-08-01,335,8.222,TX
LN-2024-00057,Retail,15yr Fixed,481825,2024-06-01,260,5.823,AZ
LN-2024-00058,Retail,ARM 5/1,758420,2024-06-01,253,6.257,IL
LN-2024-00059,Retail,15yr Fixed,1185983,2024-12-01,258,8.029,AZ
LN-2024-00060,Correspondent,15yr Fixed,956131,2024-07-01,308,6.882,FL
LN-2024-00061,Direct,ARM 5/1,617109,2024-11-01,360,6.801,NY
LN-2024-00062,Correspondent,30yr Fixed,794458,2024-12-01,328,8.189,NY
LN-2024-00063,Retail,ARM 5/1,930550,2024-11-01,270,6.897,TX
LN-2024-00064,Direct,ARM 5/1,289242,2024-06-01,336,7.131,CA
LN-2024-00065,Wholesale,15yr Fixed,731130,2024-03-01,263,7.931,NY
LN-2024-00066,Correspondent,15yr Fixed,604447,2024-11-01,254,7.79,IL
LN-2024-00067,Retail,15yr Fixed,402339,2024-02-01,328,8.077,CA
LN-2024-00068,Wholesale,ARM 5/1,868385,2024-07-01,325,6.636,FL
LN-2024-00069,Retail,15yr Fixed,1197596,2024-02-01,268,7.515,IL
LN-2024-00070,Retail,30yr Fixed,972155,2024-07-01,256,6.591,FL
LN-2024-00071,Direct,30yr Fixed,543556,2024-04-01,288,7.327,AZ
LN-2024-00072,Retail,15yr Fixed,1104647,2024-09-01,346,7.227,FL
LN-2024-00073,Direct,ARM 5/1,699161,2024-01-01,315,5.844,AZ
LN-2024-00074,Correspondent,ARM 5/1,662714,2024-12-01,302,7.854,NY
LN-2024-00075,Retail,30yr Fixed,804060,2024-12-01,322,7.4,NY
LN-2024-00076,Wholesale,30yr Fixed,423928,2024-06-01,299,6.216,CA
LN-2024-00077,Direct,ARM 5/1,209508,2024-07-01,305,7.151,IL
LN-2024-00078,Correspondent,15yr Fixed,952218,2024-11-01,294,8.283,FL
LN-2024-00079,Correspondent,15yr Fixed,1001952,2024-11-01,328,7.029,NY
LN-2024-00080,Wholesale,30yr Fixed,887327,2024-04-01,319,6.565,CA
LN-2024-00081,Direct,30yr Fixed,498906,2024-04-01,303,6.862,NY
LN-2024-00082,Correspondent,15yr Fixed,1083692,2024-11-01,341,7.186,FL
LN-2024-00083,Direct,ARM 5/1,237595,2024-01-01,365,6.525,NY
LN-2024-00084,Wholesale,30yr Fixed,1192942,2024-05-01,317,7.238,NY
LN-2024-00085,Retail,ARM 5/1,692317,2024-02-01,254,6.912,AZ
LN-2024-00086,Correspondent,30yr Fixed,497969,2024-09-01,297,5.866,AZ
LN-2024-00087,Correspondent,30yr Fixed,430253,2024-05-01,278,5.577,FL
LN-2024-00088,Retail,ARM 5/1,1059507,2024-04-01,370,6.381,IL
LN-2024-00089,Retail,30yr Fixed,1052054,2024-01-01,376,7.126,CA
LN-2024-00090,Wholesale,15yr Fixed,534842,2024-05-01,322,5.973,IL
LN-2024-00091,Retail,15yr Fixed,1152408,2024-11-01,299,7.124,CA
LN-2024-00092,Wholesale,ARM 5/1,189055,2024-07-01,278,6.084,IL
LN-2024-00093,Direct,15yr Fixed,1034188,2024-08-01,374,7.375,NY
LN-2024-00094,Wholesale,ARM 5/1,196296,2024-04-01,322,8.31,CA
LN-2024-00095,Correspondent,15yr Fixed,311561,2024-07-01,350,5.671,FL
LN-2024-00096,Direct,15yr Fixed,479554,2024-05-01,329,6.676,AZ
LN-2024-00097,Correspondent,ARM 5/1,817396,2024-02-01,274,6.074,IL
LN-2024-00098,Retail,15yr Fixed,1060018,2024-12-01,364,8.033,FL
