lock_id,channel,lock_month,locked_amount,funded_flag
LOCK-2024-00001,Wholesale,2024-08-01,1112503,1
LOCK-2024-00002,Correspondent,2024-08-01,732104,1
LOCK-2024-00003,Direct,2024-04-01,946467,1
LOCK-2024-00004,Wholesale,2024-05-01,1162654,1
LOCK-2024-00005,Correspondent,2024-02-01,656209,0
LOCK-2024-00006,Correspondent,2024-10-01,863838,0
LOCK-2024-00007,Direct,2024-04-01,799360,0
LOCK-2024-00008,Wholesale,2024-04-01,1129026,1
LOCK-2024-00009,Retail,2024-12-01,708491,1
LOCK-2024-00010,Retail,2024-01-01,1179915,1
LOCK-2024-00011,Correspondent,2024-06-01,1089895,0
LOCK-2024-00012,Wholesale,2024-11-01,525714,1
LOCK-2024-00013,Retail,2024-09-01,310628,1
LOCK-2024-00014,Wholesale,2024-07-01,1094369,0
LOCK-2024-00015,Wholesale,2024-10-01,285537,0
LOCK-2024-00016,Direct,2024-10-01,826078,0
LOCK-2024-00017,Direct,2024-08-01,515251,1
LOCK-2024-00018,Retail,2024-07-01,1146330,1
LOCK-2024-00019,Correspondent,2024-03-01,1014979,1
LOCK-2024-00020,Direct,2024-04-01,791529,0
LOCK-2024-00021,Direct,2024-08-01,670939,1
LOCK-2024-00022,Correspondent,2024-05-01,823467,0
LOCK-2024-00023,Direct,2024-11-01,315021,0
LOCK-2024-00024,Direct,2024-10-01,526690,1
LOCK-2024-00025,Direct,2024-09-01,368757,1
LOCK-2024-00026,Correspondent,2024-12-01,852335,1
LOCK-2024-00027,Direct,2024-12-01,767185,0
LOCK-2024-00028,Retail,2024-12-01,186966,1
LOCK-2024-00029,Correspondent,2024-09-01,1145392,1
LOCK-2024-00030,Retail,2024-07-01,776437,0
LOCK-2024-00031,Wholesale,2024-03-01,319983,1
LOCK-2024-00032,Correspondent,2024-09-01,913748,0
LOCK-2024-00033,Retail,2024-05-01,736014,0
LOCK-2024-00034,Wholesale,2024-12-01,585079,1
LOCK-2024-00035,Correspondent,2024-08-01,1168273,1
LOCK-2024-00036,Correspondent,2024-10-01,214388,1
LOCK-2024-00037,Direct,2024-05-01,559499,1
LOCK-2024-00038,Correspondent,2024-06-01,854865,0
LOCK-2024-00039,Correspondent,2024-03-01,477236,1
LOCK-2024-00040,Retail,2024-09-01,285704,1
LOCK-2024-00041,Retail,2024-04-01,668314,0
LOCK-2024-00042,Correspondent,2024-01-01,357231,1
LOCK-2024-00043,Correspondent,2024-09-01,917372,0
LOCK-2024-00044,Retail,2024-09-01,310581,1
LOCK-2024-00045,Direct,2024-04-01,771949,0
LOCK-2024-00046,Wholesale,2024-11-01,767539,1
LOCK-2024-00047,Correspondent,2024-12-01,171282,1
LOCK-2024-00048,Direct,2024-03-01,717829,1
LOCK-2024-00049,Direct,2024-10-01,359939,1
LOCK-2024-00050,Retail,2024-04-01,999703,0
LOCK-2024-00051,Correspondent,2024-04-01,932076,1
LOCK-2024-00052,Retail,2024-12-01,1118194,1
LOCK-2024-00053,Wholesale,2024-09-01,897099,1
LOCK-2024-00054,Retail,2024-07-01,908222,1
LOCK-2024-00055,Correspondent,2024-02-01,311863,1
LOCK-2024-00056,Retail,2024-02-01,335164,1
LOCK-2024-00057,Retail,2024-02-01,521235,0
LOCK-2024-00058,Wholesale,2024-10-01,453353,0
LOCK-2024-00059,Wholesale,2024-01-01,199141,0
LOCK-2024-00060,Retail,2024-03-01,245439,1
LOCK-2024-00061,Retail,2024-11-01,502975,1
LOCK-2024-00062,Direct,2024-08-01,469060,0
LOCK-2024-00063,Correspondent,2024-06-01,271183,1
LOCK-2024-00064,Correspondent,2024-07-01,221965,1
LOCK-2024-00065,Retail,2024-05-01,811945,0
LOCK-2024-00066,Retail,2024-03-01,859485,1
LOCK-2024-00067,Retail,2024-09-01,255681,0
LOCK-2024-00068,Wholesale,2024-05-01,255595,1
LOCK-2024-00069,Retail,2024-04-01,721471,0
LOCK-2024-00070,Retail,2024-04-01,349001,1
LOCK-2024-00071,Retail,2024-12-01,306098,1
LOCK-2024-00072,Wholesale,2024-06-01,1154733,0
LOCK-2024-00073,Correspondent,2024-12-01,276743,0
LOCK-2024-00074,Direct,2024-09-01,488923,1
LOCK-2024-00075,Direct,2024-03-01,758282,1
LOCK-2024-00076,Wholesale,2024-01-01,203463,1
LOCK-2024-00077,Direct,2024-06-01,878176,1
LOCK-2024-00078,Direct,2024-02-01,1041692,0
LOCK-2024-00079,Retail,2024-10-01,927371,1
LOCK-2024-00080,Wholesale,2024-02-01,458421,0
LOCK-2024-00081,Direct,2024-03-01,795255,1
